text,label
yellow long curved fruit,banana
curved yellow peel fruit,banana
soft sweet yellow fruit,banana
energy giving yellow fruit,banana
yellow tropical fruit banana like,banana
spiky tropical fruit,pineapple
rough crown like fruit,pineapple
hard spiky outside fruit,pineapple
sweet tropical spiky fruit,pineapple
tropical fruit with spikes,pineapple
red scaly exotic fruit,snake fruit
dragon skin fruit,snake fruit
exotic red scaly fruit,snake fruit
rough red strange fruit,snake fruit
scaly dragon like tropical fruit,snake fruit
